output_0,output_1,output_2,output_3,output_4
2.177508,2.28008,2.3147259,2.0980952,2.1660936
6.396243,6.8874354,6.464018,7.0115623,7.8950577
5.117567,5.1882224,5.113807,4.877613,5.112463
4.766022,4.9432545,4.8790083,4.834047,4.874179
1.9945148,1.4104601,2.4078765,2.4138978,2.1278532
5.136339,4.841432,4.915354,4.774952,5.0469027
6.2061987,6.700802,7.3988175,6.87663,6.2537937
3.0648263,3.0053635,3.4234698,3.1722221,3.1523082
6.891914,6.5444393,6.668565,6.3621297,6.81565
4.7247643,5.0546923,5.005168,4.950278,5.0025606
3.9773798,4.897293,4.0495477,4.7068973,3.731982
5.381995,5.1862783,5.059104,5.278804,5.181941
3.807209,2.4808278,1.8492742,1.8137804,3.7884624
7.3570538,6.9504037,6.7440834,6.874008,7.344319
4.037421,3.522715,3.2822738,2.7778945,2.9927125
4.892537,4.919767,4.8977556,4.9205937,5.202224
3.0587215,3.0961182,3.2053406,2.930878,3.20104
5.2791467,5.3571634,5.4694157,5.5018253,5.343459
5.1766205,5.299959,4.9894876,4.9591036,4.78483
1.4547026,1.459734,1.5046206,1.4222604,1.5391877
2.8125854,7.15145,2.818415,3.162041,7.4104886
2.797901,2.9515939,3.0997012,3.1137254,2.8899076
5.174999,5.1575356,4.85378,5.3761077,5.3772945
5.2552238,4.7104526,4.732821,4.787044,5.070598
7.3201923,6.926355,6.895337,7.0255384,7.2439823
1.9339195,2.1354635,2.5927546,1.9848171,2.7027397
1.3947438,1.4799746,2.4968913,2.7514255,2.484137
4.930442,5.025216,4.735614,4.8878684,4.865679
6.3038597,6.3489256,6.3273993,6.419068,6.1015444
1.3729306,1.3631499,1.2488433,1.3354096,1.2410698
6.777829,7.7730603,6.744436,7.340641,8.1088915
1.8487082,1.9268166,1.9366459,1.9108045,2.3060112
3.6152484,3.0079138,2.9704335,2.740593,3.0013344
6.933421,6.8271823,6.721155,6.689213,6.5728464
5.831554,5.6198325,8.60765,5.7443447,5.578008
6.0853004,6.7195425,6.4897633,6.3436832,6.6993136
