output_0,output_1,output_2,output_3,output_4
2.633899,7.2882314,3.5740948,4.80724,7.222136
3.1721416,3.1930459,3.8136907,3.3331523,9.511882
4.209792,4.9218802,7.5737233,3.9548073,4.017068
1.3766791,3.2138617,3.1588771,3.1251678,3.3581977
1.4807867,1.7139937,1.9671265,1.6067873,1.6418613
3.0085332,3.0160263,2.9901972,3.0719216,5.793696
7.021623,6.848482,9.046653,9.29593,9.304406
4.008542,7.6185327,4.113046,3.752379,7.6417856
2.8681035,2.8284426,2.9856577,2.7859457,2.8430057
1.7949753,2.3060431,2.4439232,2.0960338,4.4526453
9.215384,9.77095,9.419472,8.80239,9.442843
3.1233156,3.1083374,2.754547,3.0049794,2.9527214
3.4648292,1.8112274,1.3287206,1.6780058,1.4010805
7.7479534,6.7772427,7.194216,7.6758738,7.452229
6.0047674,6.1270027,6.559599,6.1537256,6.2358294
2.2894495,4.6809425,2.0120504,4.9272237,1.9806061
8.086739,4.7307715,8.076923,4.6245027,8.8618
3.113086,3.102681,4.9777427,2.93772,3.6031284
5.1597676,5.365492,5.1406,5.425378,4.858213
2.658188,3.253497,2.3717163,2.472576,2.3600185
1.5529436,1.582116,1.7440777,1.3788953,1.7258513
5.8816786,4.5079136,3.3673387,7.705774,5.255247
2.8228364,2.875217,2.722925,2.8424535,2.911955
7.402683,7.8757706,7.8113103,8.0332,8.046596
4.777186,5.4230323,5.185987,4.8802676,4.785008
2.6390798,3.2295482,2.8355806,3.122854,2.6304672
4.612624,4.495831,4.9314704,4.8187127,4.7269673
3.7276616,3.990994,6.244924,3.4997585,3.949423
5.3686166,5.1005764,5.5080385,4.9372735,5.5455294
2.8950443,2.9693656,3.0194402,2.8860223,2.9496331
4.1656756,5.5964317,5.567929,5.716012,5.6679654
3.2540624,3.1059563,3.284526,3.1598046,3.0889614
6.460048,6.3508325,6.051977,6.3831882,6.183646
2.9907436,3.0138474,3.2938771,6.3221183,2.9735074
6.1726627,6.230546,6.2482624,6.1712794,6.3944244
4.190287,4.0356574,4.082555,3.9536378,3.8763323
7.0892143,3.4935436,7.1064363,7.324006,7.209382
2.3726919,2.3515296,2.2645953,2.2175875,2.2511492
3.1721475,7.343463,3.4142306,7.099399,3.4656549
5.5743847,4.4790907,7.1405807,6.684709,9.000753
1.4088718,1.8654034,1.9741744,3.3939111,2.0003457
2.1292236,2.0135145,2.1222634,1.9097993,2.0666435
8.51552,7.7313347,7.613001,8.445191,7.637854
3.049902,3.047028,3.1976886,3.4032197,3.1206212
2.3467026,2.296032,2.6339366,3.2407055,2.3444417
6.085608,6.213743,6.532188,5.900203,6.267283
2.9035382,1.8175776,1.4657348,2.8380542,1.7706407
1.3577226,1.9043119,1.9792867,1.3753581,1.4613526
3.855535,2.4971206,4.9313216,4.6090083,4.6376224
2.9610717,2.7339215,6.8391314,3.0546908,3.1777816
5.0636964,4.9499974,2.4085677,4.5708947,4.8085117
3.2811189,3.1326487,3.1977181,3.6900039,2.7470417
3.219429,3.1329525,2.7284393,3.3321717,2.8254955
5.838336,4.258873,5.9566994,6.2277937,4.289502
3.6206617,4.0713387,4.3790073,3.8207772,6.24752
3.711479,3.6406784,3.7668695,3.731582,3.6699471
5.157194,5.1864023,4.923715,5.0615263,5.1164804
3.3279989,3.4104512,3.6771376,3.582478,3.6943774
3.963658,3.7501564,4.828165,5.264284,4.885125
1.3779536,2.6060092,1.4478759,2.7095664,1.3813368
4.11042,3.1453285,3.4674735,3.4318752,3.2822237
3.0044158,2.9521298,2.9525206,2.76582,4.2317896
2.6882553,2.665502,3.1561873,2.847651,2.8003933
2.9215019,4.057536,3.9104164,4.0398855,4.0430903
1.9950517,5.6273828,5.654082,5.396646,1.619886
2.2213316,1.5243331,2.3447325,2.1482294,2.4428952
1.733765,2.2573712,2.0122082,2.2253458,1.9650549
2.0966332,3.1995823,2.0938776,3.0713348,1.9248246
8.714986,9.071425,8.54742,8.870808,8.773407
2.3494217,4.509607,2.0516005,2.0264726,2.615071
4.3126287,4.9915533,5.372705,4.9099855,7.2958403
3.1787412,3.270385,3.37379,3.318089,3.8841121
6.6122527,6.624032,6.4658,6.932824,6.3833437
2.6187253,2.5461006,2.1945164,2.3451378,2.822008
3.0916882,2.2900033,2.3950605,2.6810617,4.0308924
1.8906885,1.6708107,1.9160036,1.7999105,1.8240436
2.986199,3.0282016,3.0813205,3.1312656,2.9995673
7.634934,5.76383,6.039973,8.186765,5.4915195
1.9555372,1.8680845,2.0323977,1.8294946,1.8494862
6.712736,6.8455935,6.70164,6.9742026,7.0290847
8.083139,8.45015,7.955686,8.151659,8.160391
4.102615,4.859087,5.0060835,2.1167645,4.7633514
2.972103,2.7534192,3.0383317,2.9966683,3.3872416
1.491975,1.24907,1.2313737,1.434244,1.2360073
3.477214,3.531892,3.2084439,3.4216487,3.1003428
7.5711384,7.976637,7.566085,7.746464,7.544713
5.074949,5.2734246,5.165857,5.882377,5.6898785
1.9399472,1.8933271,1.9418555,2.0150304,1.9861184
2.6529799,2.4014618,2.5794017,2.9152267,2.5842674
2.2649884,2.2737732,5.09196,2.2551866,5.1505976
1.9645666,1.8980284,1.8652474,1.8042955,1.7925011
4.059588,3.6743393,4.2409906,4.2881002,3.839632
2.2226384,4.1530466,1.8493494,4.1490335,4.0002503
3.2188904,1.9962631,2.704465,2.2579052,2.9122694
2.7826753,6.4385085,2.6671987,6.7735605,2.9081843
